original_path,original_filename,domain,disposition,target_area,syntax,lines,sha256,top_imports
E:\_OrderingProject\G_CoastlineClassification\Python\QGIS下载谷歌底图\getTIF.py,getTIF.py,download,REWRITE,src/coastline/download,ok,99,3a8f42701387bae746f28c185b5f26f504460856c1b1457eb769ccc4e0bafdf5,geopandas;numpy;os;processing;qgis;shapely
E:\_OrderingProject\G_CoastlineClassification\Python\QGIS下载谷歌底图\getTifQgis3.py,getTifQgis3.py,download,REWRITE,src/coastline/download,ok,134,baf2f722f6432d3f2c93df5166743e838720aa5dca5c8ece236c4bd49fb0d5de,geopandas;numpy;os;processing;qgis;shapely;time
E:\_OrderingProject\G_CoastlineClassification\Python\QGIS下载谷歌底图\创建随机点.py,创建随机点.py,datasets,REWRITE,src/coastline/datasets,ok,77,966ccb45784701177e6f7d02c8bf198357c17748d6ce7a2ccffdfd657268c6c9,geopandas;random;shapely;time
E:\_OrderingProject\G_CoastlineClassification\Python\QGIS下载谷歌底图\创建随机点_3857.py,创建随机点_3857.py,datasets,REWRITE,src/coastline/datasets,ok,65,a3287311118e8f0f81cd2e5e7d8276271f0456f0be4c6745349f276e5e7b81c4,arcpy;os;time;tqdm
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\Python实现Shapefile数据合并与字段统一.py,Python实现Shapefile数据合并与字段统一.py,utils,ARCHIVE,src/coastline/utils,ok,90,89826fbab4012bd67812984a3b683b65a516534dac11a3e41af97b999c9163a9,geopandas;numpy;os;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\Shapefile合并与去重处理.py,Shapefile合并与去重处理.py,utils,ARCHIVE,src/coastline/utils,ok,69,c28db41d1d8a261d327011923e37781a894f6743b4b92a55c53137f3c1c943a0,geopandas;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\draft.py,draft.py,utils,ARCHIVE,src/coastline/utils,ok,132,ad3c9128ba7ece3f5e007fdc3ed89dfb3acc2d77323cab5f9e6961b77c9cda10,geopandas;os;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\依照类别数量抽样.py,依照类别数量抽样.py,datasets,ARCHIVE,src/coastline/datasets,ok,132,2a306efa522bac242ef0e14a4f1a4fc53a10f6114711ee435b807600ac752bae,geopandas;os;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\基于DBF字段批量复制重命名图像文件.py,基于DBF字段批量复制重命名图像文件.py,utils,ARCHIVE,src/coastline/utils,ok,123,51222871fe452bc9c7f629664e2eeb6d1e0c6aa21093f3fd1a65dc204ea22d04,dbfread;os;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\处理shp字段并拆分类别.py,处理shp字段并拆分类别.py,utils,ARCHIVE,src/coastline/utils,ok,121,1ecb36ea36b6796a07b326e90562a384f857b4ccc7b167238f221e51d1a11c4b,arcpy;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\海岸线分类图片标注工具.py,海岸线分类图片标注工具.py,utils,ARCHIVE,src/coastline/utils,ok,303,dce5cf46e1832c569fb631bf2457b4d6ddc0ff3e9b30ccd46d74e7066863233a,PIL;cv2;geopandas;numpy;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\生成参考随机点.py,生成参考随机点.py,datasets,ARCHIVE,src/coastline/datasets,ok,211,10114eb4c6673b6bfecbf7d4e96f844edee2553bbb4c2a867b7d3d12885ec040,arcpy;os;random
E:\_OrderingProject\G_CoastlineClassification\Python\archive\临时文件处理\矢量数据排除已存在图像的要素.py,矢量数据排除已存在图像的要素.py,utils,ARCHIVE,src/coastline/utils,ok,143,961a27678e9378d41288dd01c1849092b9db97c462298d1e6907bca8b1fa300d,os;osgeo
E:\_OrderingProject\G_CoastlineClassification\Python\archive\哨兵系列处理\draft.py,draft.py,utils,ARCHIVE,src/coastline/utils,ok,63,a14a948a30e2ced8bc0d69dfe3b6197142ecaef36412a553606abd909f4f010d,geopandas;numpy;pandas;sklearn
E:\_OrderingProject\G_CoastlineClassification\Python\archive\哨兵系列处理\提取可见光影像\遥感影像点位裁剪转JPG工具.py,遥感影像点位裁剪转JPG工具.py,utils,ARCHIVE,src/coastline/utils,ok,394,363741b22f1bd5976fc96b80b295f1d92053bac87c9a18a4dee1ca53b4515a1e,PIL;geopandas;numpy;os;pandas;pathlib;rasterio;shapely;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\哨兵系列处理\提取可见光影像\遥感影像点位裁剪转JPG工具_v1.py,遥感影像点位裁剪转JPG工具_v1.py,utils,ARCHIVE,src/coastline/utils,ok,498,a8e6132b4d0df0dcae0537fbce557464654da00517603ca5714c33d86fec381d,PIL;geopandas;numpy;os;pandas;pathlib;rasterio;shapely;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\哨兵系列处理\提取可见光影像\遥感影像范围提取与查询工具.py,遥感影像范围提取与查询工具.py,utils,ARCHIVE,src/coastline/utils,ok,86,5df4f828b08a1c1c3fac925e08ca3a03df4938797bdaddb8b051ee204adfd936,json;os;pandas;rasterio;shapely;sys
